School_Name,Alp_Domain,Alp_Title,Domain 1,Llp_Title1,Domain 2,Llp_Title2
Innova Primary School,InterdiscipliNilry,Creative Problem Solving (Cps) Programme: Cps@Ips For The Holistic Development Of A 21St Century Child In Innova Primary School,Community Service & Student Leadership,Leading Through Serving,Nil,Na
Jiemin Primary School,Languages,J-Year (Jiemin- Young Editors And Reporters ),Music & Performing Arts/ Visual Arts & Design,Aesthetics Alive,Nil,Na
Jing Shan Primary School,Science,"Learning Science – The I3 (Inquiry, Ict & Innovation) Approach",Visual Arts & Design,"Nurturing Thinkers, Learners And Leaders Through Visual Arts And Pottery",Nil,Na
Junyuan Primary School,Languages,Developing Every Student Into A Confident Communicator,Sports & Outdoor Education,Shaping Individuals To Excel (Shine) @ Junyuan Through Sports,Nil,Na
Jurong Primary School,Nil,Na,Sports & Outdoor Education,Every Child A Leader @ Jps (Ecal @ Jps),Nil,Na
Jurong West Primary School,Languages,Art Of Communication For Personal Excellence,Sports & Outdoor Education,Experiential Learning Of Lifeskills For Personal Excellence,Nil,Na
Juying Primary School,InterdiscipliNilry,Thinkabits,Community Service & Student Leadership,Environmental Education,Nil,Na
Keming Primary School,Nil,Na,Sports & Outdoor Education,Sports4All@Keming: Character Development Through Sports,Nil,Na
Kheng Cheng School,Nil,Na,Community Service & Student Leadership,Student Voice & Advocacy (Sva) @ Kcs,Nil,Na
Kong Hwa School,Languages,Every Pupil An Effective Communicator,Sports & Outdoor Education,Exposure-Experience-Excel Through Sports,Nil,Na
Kranji Primary School,Nil,Na,Sports & Outdoor Education,Developing Champions In Life Through Sports,Nil,Na
Kuo Chuan Presbyterian Primary School,Languages,"E-Cube: Engage, Excite, Express",Visual Arts & Design,Learning For Life In Art And Design,Nil,Na
Lakeside Primary School,Nil,Na,Music & Performing Arts,Arts De La Sc&Egrave;Ne,Nil,Na
Lianhua Primary School,Coding,Robotics Project Work,Sports & Outdoor Education,Via Through Sports,Nil,Na
Loyang Primary School,Science,Nature-Based Education,Visual Arts & Design,Creative Arts @ Lp,Nil,Na
Macpherson Primary School,Nil,Na,Sports & Outdoor Education,"Learn, Love, Lead Through Sports (3L Sports)",Nil,Na
Maha Bodhi School,Nil,Na,Music & Performing Arts,Learning Through An Ethnic Arts Programme (Leap),Nil,Na
Marsiling Primary School,Nil,Na,Community Service & Student Leadership,"Lead (Learn, Engage, Absorb, Demonstrate) To Serve @ Mps",Nil,Na
Marymount Convent School,Nil,Na,Sports & Outdoor Education,Sports Excellence (Spex) @ Marymount,Music & Performing Arts/ Visual Arts & Design,Grooming Cultured And Refined Ladies Through The Aesthetics
Mayflower Primary School,Nil,Na,Music & Performing Arts,"Llp@Mfps: Development Of Character, Citizenship And 21Cc In And Through The Arts",Nil,Na
Mee Toh School,InterdiscipliNilry,"Educate, Engage And Empower Eco-Citizens @Mts",Sports & Outdoor Education,Sence @ Mts,Nil,Na
Meridian Primary School,InterdiscipliNilry,"Nurturing Future Learners, Citizens And Leaders Through A Whole School Interdisciplinary Approach In Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21Cc,Nil,Na
Methodist Girls' School (Primary),Languages,Language And Communication,Nil,Na,Nil,Na
Montfort Junior School,Science,"Developing Future Ready Monfortians: I Dream, I Believe, I Make",Sports & Outdoor Education,Character Matters: Developing Montfortians With Christe Values Through Sports,Nil,Na
Nan Chiau Primary School,InterdiscipliNilry,Applied Learning@Ncps Through Project Work,Community Service & Student Leadership,Watch Me Soar (Student Leadership Llp - A Whole School Approach),Nil,Na
Nan Hua Primary School,InterdiscipliNilry,Nhps Thinking Programme,Nil,Na,Nil,Na
Nanyang Primary School,Innovation & Enterprise,Mind Sports For Life,Music & Performing Arts,Building Cultural Quotience Through Dance,Nil,Na
Naval Base Primary School,Nil,Na,Sports & Outdoor Education,Holistic Outdoor Physical Education & Sports (Hopes) Programmes,Nil,Na
New Town Primary School,Nil,Na,Community Service & Student Leadership,A Leader In Every Child,Nil,Na
Ngee Ann Primary School,Nil,Na,Music & Performing Arts,"Grace (Graciousness Through Arts, Creating Excellence) In Performing Arts Programme",Nil,Na
North Spring Primary School,Nil,Na,Community Service & Student Leadership,Nsps Cce Learning Experience – A Holistic And Engaging Approach,Sports & Outdoor Education,Play Your Hearts Out @  North Spring
North View Primary School,Nil,Na,Music & Performing Arts,Every Pupil A Confident Performer,Nil,Na
North Vista Primary School,Ict & Media,Developing 21St Century Competencies Through Ict,Visual Arts & Design,Visual Arts & Design,Nil,Na
Northland Primary School,InterdiscipliNilry,Skilling The Mind; Empowering The Thinking,Music & Performing Arts,"My Story, My Stage",Nil,Na
Northoaks Primary School,Innovation & Enterprise,Curriculum Integration Through Innovation@Northoakes (Ci=I@Northoakes),Nil,Na,Nil,Na
Oasis Primary School,Nil,Na,Community Service & Student Leadership,Lead With A Heart@Oasis,Nil,Na
Opera Estate Primary School,Nil,Na,Music & Performing Arts,Ignite The Arts @ Oeps,Community Service & Student Leadership,"Learn To Lead, Lead To Serve"
Palm View Primary School,Languages,Act-Cellence: Education Through Drama Programme,Nil,Na,Nil,Na
Park View Primary School,Nil,Na,Sports & Outdoor Education,Park View Sports Experiential Programme,Community Service & Student Leadership,Leader In Me
Pasir Ris Primary School,Nil,Na,Community Service & Student Leadership,Leaders Growing Leaders,Sports & Outdoor Education,E3 In Sports@Prps
Paya Lebar Methodist Girls' School (Primary),Nil,Na,Sports & Outdoor Education,Aesthetics Sports Experience @ Pl,Music & Performing Arts,Music Harmonises @ Pl
Pei Chun Public School,Languages,Bilingual Media Studies (Bms) Programme,Community Involvement & Student Leadership,Pei Chun Leaders Programme (Pclp),Nil,Na
Pei Hwa Presbyterian Primary School,Languages,"Competent, Confident Communicators (C<Sup>3</Sup>) – A 6 Year Progressive Programme.",Sports & Outdoor Education,"Star (Self-Defence, Track & Field, Adventure And Racquet Games) @ Phpps",Nil,Na
Pei Tong Primary School,Nil,Na,Music & Performing Arts,Melody@Pei Tong,Nil,Na
Peiying Primary School,Nil,Na,Sports & Outdoor Education,"Sports, Character Development And Adventure Learning Experiences @ Peiying (Scale@Peiying)",Nil,Na
Pioneer Primary School,Nil,Na,Music & Performing Arts,Fitness And Graciousness Through Dance,Nil,Na
Poi Ching School,Nil,Na,Music & Performing Arts,D’Arts@Pcs,Nil,Na
Princess Elizabeth Primary School,Nil,Na,Community Service & Student Leadership,Aspire To Serve And Lead,Nil,Na
Punggol Cove Primary School,Languages,Holistic English Literacy Programme (Help),Nil,Na,Nil,Na
Punggol Green Primary School,Nil,Na,Community Service & Student Leadership,Learning For Life Through Environmental Education And Project Work (L.E.A.P.),Nil,Na
Punggol Primary School,InterdiscipliNilry,Greenovation @ Pps,Sports & Outdoor Education,Sel & Character Development Through Active Participation In Sports (S.T.A.R.S.),Nil,Na
Punggol View Primary School,Nil,Na,Sports & Outdoor Education,Building Character Through Outdoor Education,Nil,Na
Qifa Primary School,Languages,Effective Communication,Sports & Outdoor Education,Champs @Qifa,Nil,Na
Qihua Primary School,Innovation & Enterprise,Inventive And Critical Thinking Skills Through Innovation And Entrepreneurship Excellence Programme,Sports & Outdoor Education,Promotion Of School Values Through Sports Development Programme (Sdp),Nil,Na
Queenstown Primary School,Nil,Na,Visual Arts & Design,Connecting The Hearts With Arts,Nil,Na
Radin Mas Primary School,Coding,Nurturing 21St Century Competencies Through Computational Thinking With Design Thinking,Nil,Na,Nil,Na
Raffles Girls' Primary School,Languages,Nurturing Confident Communicators,Music & Performing Arts,Developing Creatively Through Collaborative Music Making,Nil,Na
Red Swastika School,Science,Tinkers To Thinkers (T2T) Programme,Community Service & Student Leadership,Every Rss Student A Leader,Nil,Na
River Valley Primary School,Nil,Na,Community Service & Student Leadership,Enhancing Character And Citizenship Education With Leadership Development To Edify Lives In Rvps,Nil,Na
Riverside Primary School,InterdiscipliNilry,Playworks – Nurturing Critical And Inventive Thinkers,Nil,Na,Nil,Na
Rivervale Primary School,Science,Multi-Literacy Programme (Mlp),Music & Performing Arts,Dance Fever – Dance Aces Nurturing Cultural Expression For Every Riverlite,Nil,Na
Rosyth School,Science,Augmenting Science Learning Through Innovation,Music & Performing Arts,Programme For Aesthetics Integration@Rosyth (Pair),Nil,Na
Rulang Primary School,Coding,Enhancing 21St Century Competencies Through Robotics,Sports & Outdoor Education,"Sports Teach Responsibility, Inventiveness, Values & Excellence (Strive) @ Rulang",Nil,Na
Sembawang Primary School,Science,Nurturing Green Citizens & Leaders Through Environmental Studies,Nil,Na,Nil,Na
Seng Kang Primary School,Languages,Enhanced Spoken English Programme,Sports & Outdoor Education,Developing Values And Leadership Through Sports Education,Nil,Na
Seng Kang Green Primary School,Nil,Na,Music & Performing Arts/ Visual Arts & Design,Icar2E Through The Arts,Nil,Na
Shuqun Primary School,Nil,Na,Sports & Outdoor Education,Character And Leadership Development Through Adventure (Clad),Nil,Na
Si Ling Primary School,Science,Environmental Science Programme,Nil,Na,Nil,Na
Singapore Chinese Girls' Primary School,Nil,Na,Music & Performing Arts,Pam@Sc – Performing Arts And Music At Sc,Nil,Na
South View Primary School,Ict & Media,"Energize, Excite, And Exalt! - Learning Through Empowering @ Svps",Music & Performing Arts,Love Dance.  Love Life!,Nil,Na
Springdale Primary School,InterdiscipliNilry,Out-Of-Door Education (Ode) Through Curriculum Integration,Nil,Na,Nil,Na
St. Andrew'S Junior School,InterdiscipliNilry,A Saint Who Thinks Holistically,Sports & Outdoor Education,"Sports For Life – Spectator, Supporter And Sportsman",Nil,Na
St. Anthony'S Canossian Primary School,Nil,Na,Sports & Outdoor Education,Sacps Is Fit For Life – Building Resilience & Perseverance Through Sports & Games,Music & Performing Arts,Developing Confidence And Creativity Through The Performing Arts
St. Anthony'S Primary School,Nil,Na,Visual Arts & Design,Visual Arts Programme For Active Learning (Vapal),Sports & Outdoor Education,Learn.Play.Grow – ‘Developing Character Through Sports’ Programme
St. Gabriel'S Primary School,Nil,Na,Community Service & Student Leadership,Montfortian Leadership Programme (Mlp),Nil,Na
St. Hilda'S Primary School,Languages,Developing Confident Communicators Through An Enriched Global Education -- The Hildan Ambassador’S Education,Visual Arts & Design,"Imprints Alive! Nurturing Creativity And Culture Through Performing Arts, Visual Arts And Leadership",Nil,Na
St. Joseph'S Institution Junior,Nil,Na,Sports & Outdoor Education,Sports Experience Reinforcing Values Education (Serve@Sjij),Nil,Na
St. Margaret'S Primary School,Nil,Na,Music & Performing Arts,"Dance A.L.I.V.E!: Dance For Agility, Life, Ingenuity, Versatility And Expression",Sports & Outdoor Education,Sports A. C<Sup>2</Sup>. E: Sports For All; Sports For Continuity & Character; Sports For Excellence
St. Stephen'S School,Nil,Na,Music & Performing Arts,Music For Stephenians  (Must),Sports & Outdoor Education,Physical Education And Sports For Every Stephenian  (Passian)
Stamford Primary School,Nil,Na,Sports & Outdoor Education,Character And Leadership Through Sports And Outdoor Education,Nil,Na
Tampines North Primary School,Nil,Na,Community Service & Student Leadership,Green For Life (G4Life) Programme: Character Building Through Environment Education,Nil,Na
Tampines Primary School,Nil,Na,Music & Performing Arts,"Star Acttitude:
Pupils With Strengths, Talents, Aspiration And Resilience To Achieve A Character Turnaround And Transformation Inspired Through Drama In Education",Nil,Na
Tanjong Katong Primary School,Nil,Na,Sports & Outdoor Education,Team Sports Excellence @ Tkp,Nil,Na
Tao Nan School,Mathematics,Application Of Mathematics For Lifelong Learning (Aml2),Sports & Outdoor Education,Enrich@Tns,Nil,Na
Teck Ghee Primary School,Nil,Na,Visual Arts & Design,Confident Communicators With Ceramics (C3),Nil,Na
Teck Whye Primary School,Ict & Media,Media Whiz Kids! Nurturing Confident And Media Literate Communicators,Community Service & Student Leadership,"I-Lead, I-Serve – Leadership Through And As Service",Nil,Na
Telok Kurau Primary School,Coding,Thinking Through Coding And Robotics,Sports & Outdoor Education,Character Development Through Team Sports,Nil,Na
Temasek Primary School,Coding,Roboalert (Applicative Learning Experience Through Robotics At Temasek),Sports & Outdoor Education,Soar – Sports Opportunities For Active Lifestyle And Physical Resilience And Sporting Excellence,Nil,Na
Townsville Primary School,Nil,Na,Visual Arts & Design,Visual Arts For Life @ Townsville,Nil,Na
Unity Primary School,Languages,Captivate! – Critical Thinking Accelerated Programme @ Ups,Community Service & Student Leadership,Charge Up! (Character Development Through Green & Experiential Learning @ Unity Primary),Nil,Na
Waterway Primary School,Languages,Orators@Waterway,Nil,Na,Nil,Na
Wellington Primary School,Ict & Media,Promoting Student Enquiry & Independent Learning Through New Media,Music & Performing Arts,"Developing Student Talent And Life-Long Learning In Dance Through Addam (Academy Of Dance, Drama, Art & Music)",Nil,Na
West Grove Primary School,Nil,Na,Music & Performing Arts,Thoughtful Learning Through The Arts,Nil,Na
West View Primary School,Science,F.R.I.E.N.D Of Earth,Music & Performing Arts,"Ace The Arts (Appreciate, Create, Explore To Excel)",Nil,Na
West Spring Primary School,Science,Sustaining The Earth With Applied Solutions (Seas),Sports & Outdoor Education,Joyful Experienc.E. @ West Spring (Experienc.E. – Experience Challenging Endeavours),Nil,Na
Westwood Primary School,Innovation & Enterprise,Positive Design Applied Learning Programme,Community Service & Student Leadership,Inspiring Student Leadership And Community Service Through Positive Education,Nil,Na
White Sands Primary School,Ict & Media,Digital Media In Aesthetics & Languages,Nil,Na,Nil,Na
Woodgrove Primary School,Languages,Effective Communication Via Drama,Music & Performing Arts,Shine And Succeed Through Dance,Nil,Na
Woodlands Primary School,Nil,Na,Music & Performing Arts,Performance And Character Education Through Music (Pace@Music),Sports & Outdoor Education,Sports Performance And Character Education (Space)
Woodlands Ring Primary School,Science,Investigative Project Work @ Wrps,Nil,Na,Nil,Na
Xinghua Primary School,Nil,Na,Visual Arts & Design,Developing Higher Order Thinking Through Visual Art,Nil,Na
Xingnan Primary School,Nil,Na,Music & Performing Arts,Flair@Xingnan – An Experience With Performing Arts,Nil,Na
Xinmin Primary School,Nil,Na,Community Service & Student Leadership,Cultivating A Life Of Values And Excellence (Clove),Nil,Na
Xishan Primary School,Nil,Na,Sports & Outdoor Education,Empowerment Through Sports Education,Nil,Na
Yangzheng Primary School,Nil,Na,Community Service & Student Leadership,Student Leadership And Life Skills Development Through Uniformed Groups,Nil,Na
Yew Tee Primary School,InterdiscipliNilry,"D.R.E.A.M.@Yew Tee (Developing Reflective Learners, Empowering Creative Minds)",Sports & Outdoor Education,Holistic Enriching And Rewarding Outdoor Education & Sports (Heroes) @ Ytps,Nil,Na
Yio Chu Kang Primary School,Science,Estem@Yckps (Alp In Environmental Stem-Based Applied Learning At Yckps),Music & Performing Arts,Create@ Yckps,Nil,Na
Yishun Primary School,Science,"Work As A Team, Be Environmentally Green",Music & Performing Arts,"Viva De Symphonie – Championing Values: Living, Learning And Growing Through Music",Nil,Na
Yu Neng Primary School,Ict & Media,The 3E Experience @ Ynps: Nurturing Future-Ready 21St Century Learners,Sports & Outdoor Education,Goal Gr3It – Character Development Through Sports @ Yu Neng Primary,Nil,Na
Yuhua Primary School,Nil,Na,Music & Performing Arts,Building Good Character Through Music And The Performing Arts,Nil,Na
Yumin Primary School,Coding,"I3Quest –Question, Imagine, Innovate, Inspire",Community Service & Student Leadership,"Compassionate Champions, Rooted Singaporeans, Citizens Of The World – Developing 21St Cc In Yumin Champions",Nil,Na
Zhangde Primary School,Science,Developing Zhangde Giver<Sup>3</Sup>S Values Through Environment Education,Nil,Na,Nil,Na
Zhenghua Primary School,Nil,Na,Music & Performing Arts,Aesthetics Appreciation Through Dance Arts Education,Nil,Na
Zhonghua Primary School,Nil,Na,Community Service & Student Leadership,Green Education Movement @ Zhonghua Primary School (Gem@Zps),Nil,Na
