School_Name,Alp_Domain,Alp_Title,Domain 1,Llp_Title1,Domain 2,Llp_Title2
Jurongville Secondary School,Stem,In Heath We Thrive - Connecting The Science And Skills Of Health And Wellness,Sports & Outdoor Education,"Sports For Life - Character Education Through Sports Exposure, Sports Empowerment And Sports Excellence",Nil,Na
Juying Secondary School,Languages & Humanities,Developing Confident & Competent Communicators Through Oracy Skills Programme,Music & Performing Arts,"Performing Arts : “Iace@Juying”
(I Appreciate, I Create, I Exhibit At Juying)",Nil,Na
Kent Ridge Secondary School,Stem,Developing Computational Thinking Through Robotics,Sports & Outdoor Education,Evoke!@Kr (Educational Values Of Olympism At Kent Ridge) Through Sports And Outdoor Education,Nil,Na
Kranji Secondary School,InterdiscipliNilry,Nurturing Communities Of Reflective And Independent Learners Through Thinking Curriculum,Community & Youth Leadership,Nurturing A Leader In Every Kranjian Through Community And Youth Leadership,Nil,Na
Kuo Chuan Presbyterian Secondary School,Languages & Humanities,"Participate, Access/ Analyse, Create, Evaluate (P.A.C.E) In Kcpss Media Literacy Programme",Community & Youth Leadership,Every Kcpian A Servant Leader,Nil,Na
Loyang View Secondary School,Stem,Design And Engineering,Sports & Outdoor Education,Sports And Outdoor Education,Nil,Na
Manjusri Secondary School,Stem,Building Smart Homes With A Big Heart,Music & Performing Arts,Learning Through The Arts,Nil,Na
Marsiling Secondary School,Stem,Eco-Sustainability Through Inquiry-Based Learning,Sports & Outdoor Education,Values And Character Building Through Outdoor Curriculum (Valour),Nil,Na
Mayflower Secondary School,Languages & Humanities,Developing Confidence And Curiosity Through Effective Communication,Music & Performing Arts,Developing A Zest For Life Through Aesthetics,Nil,Na
Meridian Secondary School,Aesthetics,Aesthetics,Community & Youth Leadership,Community And Youth Leadership,Nil,Na
Montfort Secondary School,Stem,"Made In Montfort – Design, Code, Make",Sports & Outdoor Education,Student Leadership Through Outdoor Adventure & Sports,Nil,Na
Nan Chiau High School,Stem,Electronics In Health Sciences And Health Care Technology,Music & Performing Arts,"Enhancing Expression, Creativity And Aesthetics Appreciation (Ecaa) Through The Arts (Drama, Puppetry And Creative Lyrics Composition)",Nil,Na
Naval Base Secondary School,Aesthetics,Applied Learning In Art,Sports & Outdoor Education,"Character Education Through Sports Awareness, Commitment And Empowerment (Space)",Nil,Na
New Town Secondary School,Aesthetics,Developing Critical And Inventive Thinkers Through Visual Communication,Community & Youth Leadership,"Developing Confident & Compassionate Student Leaders To Lead, Serve & Excel",Nil,Na
North Vista Secondary School,Stem,Investigative Science In Health & Sports,Visual Arts & Design,Nurturing Creative Problem Solvers Through The Arts & Design,Nil,Na
Northbrooks Secondary School,Stem,Northbrooks Aerospace Programme (Applied Learning In Aerospace),Sports & Outdoor Education,"Northbrooks Outdoor Education: Adventure, Character, Environment (A.C.E.) Programme",Nil,Na
Northland Secondary School,Stem,Alp Health Sciences - Healthy Lifestyle And Caring For Elderly,Sports & Outdoor Education,Game For Life – Developing Social Emotional Competencies Through Sports And Physical Activities,Nil,Na
Orchid Park Secondary School,Aesthetics,Artopia - Arts Appreciation & Values Inculcation Through Visual Art,Community & Youth Leadership,Opss Core Programme – Orchid Park Secondary School Community Outreach Education Programme,Nil,Na
Outram Secondary School,Business & Entrepreneurship,Business And Enterprise,Sports & Outdoor Education,Sports For Life,Nil,Na
Pasir Ris Crest Secondary School,Languages & Humanities,Effective Communicators Of The 21St Century,Music & Performing Arts,Nurturing Crestian Leaders Of Tomorrow Through Music And The Performing Arts,Nil,Na
Pasir Ris Secondary School,Humanities,Applied Learning In Humanities And Languages Through Project Drive!,Music & Performing Arts,Learning For Life Programme In Music And Performing Arts Through Shine@Prss,Nil,Na
Pei Hwa Secondary School,Stem,"Robotics And Programming - Nurturing Leaders, Scholars And Altruists",Community & Youth Leadership,Pride Of The Community: Developing Altruists,Nil,Na
Peicai Secondary School,Stem,“We Are What We Eat; And What We Do” – Knowing Better; Living Healthier; Transforming Lives,Community & Youth Leadership,Becoming Persons For Others – Leadership Through And For The Community,Nil,Na
Peirce Secondary School,Languages,Broadcast Journalism,Community & Youth Leadership,Community & Youth Leadership,Nil,Na
Ping Yi Secondary School,Stem,Design Education And Aeronautical Engineering,Community & Youth Leadership,Leadership Through Cce,Nil,Na
Presbyterian High School,Stem,Forensic & Pharmaceutical Science,Community & Youth Leadership,Community Youth Leadership,Nil,Na
Punggol Secondary School,Stem,Environment Education,Community & Youth Leadership,"Serving With Values And Good Habits, Developing The 21St Century Gentlemen/ Ladies",Nil,Na
Queenstown Secondary School,Humanities,Minds For The Future – First Cultivating The Disciplined And Synthesising Mind,Community & Youth Leadership,Community & Youth Leadership,Nil,Na
Queensway Secondary School,Stem,Environmental Science Applied Learning Programme: Developing Confident Learners And Caring Citizens,Sports & Outdoor Education,Sports For Life & Outdoor Education Programme: Nurturing Responsible Citizens And Life-Long Learners,Nil,Na
Regent Secondary School,Stem,Engineering @ Regent,Community & Youth Leadership,"Empowering Every Regenite To Be A Responsible And Confident Leader, Committed To Excellence",Nil,Na
Riverside Secondary School,Languages & Humanities,Global Citizenship Education Through Critical Social Inquiry,Music & Performing Arts / Visual Arts & Design,Arts For Life,Nil,Na
Sembawang Secondary School,Languages & Humanities,Critical & Inventive Thinking (Cit) Thru Media Literacy,Community & Youth Leadership,Developing Community Leaders Through Via And Outdoor Education,Nil,Na
Seng Kang Secondary School,Stem,Health Science & Technology,Sports & Outdoor Education,Building Character Through Physical Education & Sports,Nil,Na
Serangoon Garden Secondary School,Humanities,Researching Society Using Media Communication,Community & Youth Leadership,Nurturing Confident And Compassionate Leaders Through Uniformed Groups,Nil,Na
Serangoon Secondary School,Stem,Real-World Explorations In Ict,Community & Youth Leadership,Project Ablaze: Harnessing Student Leadership In The Service Of Community,Nil,Na
Shuqun Secondary School,Stem,Shuqun Computing For Applied Learning And Robotics (Scoar),Sports & Outdoor Education,Sports And Outdoor Experiences For Values Education (Serve),Nil,Na
Springfield Secondary School,Stem,Exploring Health Sciences Through Sp<Sup>2</Sup>A,Community & Youth Leadership,"Gearing Springfielders For Success - Grounding In Values, Engaged To Learn And Lead, Aspiring To Serve, Ready To Soar",Nil,Na
St. Andrew'S Secondary School,Stem,Saints Engineering Design Programme,Sports & Outdoor Education,Saints Rugby For Life,Nil,Na
St. Gabriel'S Secondary School,Stem,Project Gaia - Gabrielites Inspired For Aviation,Community & Youth Leadership,Developing Life Skills Through Uniformed Groups Experience,Nil,Na
St. Hilda'S Secondary School,Languages & Humanities,Ithink -- The Hildan Approach To Learning The English Language,Sports & Outdoor Education,Develop The Whole Person Through Sports And Outdoor Education,Nil,Na
St. Patrick'S School,Stem,Sports And Health Science,Music & Performing Arts,Music Development Programme,Nil,Na
Swiss Cottage Secondary School,Stem,Applied Sciences For Sustainable Development,Community & Youth Leadership,Swiss Thoughtful Leadership Programme,Nil,Na
Tampines Secondary School,Stem,Creative Engineering: Inter-Disciplinary Authentic Problem Solving,Music & Performing Arts / Visual Arts & Design,Creative Expressions: Expressing Creatively Through Visual And Performing Arts (Arts Education),Nil,Na
Tanglin Secondary School,Languages & Humanities,Tanglin P.L.U.S. (Perspectives And Literacies To Understand Society),Music & Performing Arts / Visual Arts & Design,S3 Through The Arts@Tanglin Secondary School (Tss),Nil,Na
Teck Whye Secondary School,Stem,Re-Designing The Future With Materials Science,Sports & Outdoor Education,"Sports And Sportsmanship Programme @ Twss (Experience, Expose, Excel)",Nil,Na
